"","pmid","title","year","keyword"
"1","32551457","Possible Old Drugs for Repositioning in COVID-19 Treatment: Combating Cytokine Storms from Haloperidol to Anti-interleukin Agents.",2019,"covid-19"
"2","32551453","Management of an Organ Donation Process in COVID-19 Pandemic: First Case of Turkey.",2019,"covid-19"
"3","32551444","Perioperative Anaesthetic Management of Confirmed or Suspected COVID-19 Patients.",2019,"covid-19"
"4","32551153","Perioperative planning in the COVID-19 pandemic: Cardiovascular perfusion and device-related issues.",2019,"covid-19"
"5","32551152","Perioperative planning in the COVID-19 pandemic: Vascular issues.",2019,"covid-19"
"6","32551151","Perioperative planning for cardiovascular operations in the COVID-19 pandemic.",2019,"covid-19"
"7","32551150","Turkish Society of Cardiovascular Surgery (TSCVS) Proposal for use of ECMO in respiratory and circulatory failure in COVID-19 pandemic era.",2019,"covid-19"
"8","32272473","Pediatric Endocrinology in the Time of the COVID-19 Pandemic.",2019,"covid-19"
"9","32216717","Frequency and Distribution of Chest Radiographic Findings in COVID-19 Positive Patients.",2019,"covid-19"
"10","32100485","Chest Radiographic and CT Findings of the 2019 Novel Coronavirus Disease (COVID-19): Analysis of Nine Patients Treated in Korea.",2019,"covid-19"
"11","32564574","Classification criteria for the deceased referred for forensic post-mortem examinations with regard to epidemiological risk posed by SARS CoV-2/COVID-19 during the pandemic.",2019,"covid-19"
"12","32564573","Recommendations of the Polish Society of Forensic Medicine and Criminology and National Consultant for forensic medicine with regard to performing forensic post-mortem examinations in case of confirmed COVID-19 disease and suspected SARS CoV-2 infections.",2019,"covid-19"
"13","32593259","[Theory and practice of aging upon COVID-19 pandemic.]",2020,"covid-19"
"14","32593224","Impact of COVID-19 on Mohs micrographic surgery: UK-wide survey and recommendations for practice.",2020,"covid-19"
"15","32593209","Favorable COVID-19 course despite significant comorbidities in a ruxolitinib-treated patient with primary myelofibrosis.",2020,"covid-19"
"16","32593202","Successful treatment of chronic myelomonocytic leukaemia with hydroxycarbamide in a patient presenting with acute hypoxic respiratory failure due to COVID-19 pneumonia.",2020,"covid-19"
"17","32593196","The Another Side of COVID-19 in Alzheimer's Disease Patients: Drug-Drug Interactions.",2020,"covid-19"
"18","32593183","Ruxolitinib for tocilizumab-refractory severe COVID-19 infection.",2020,"covid-19"
"19","32593180","Convalescent plasma for persisting Covid-19 following therapeutic lymphocyte depletion: a report of rapid recovery.",2020,"covid-19"
"20","32593133","Assessment of SARS-CoV-2 serological tests for the diagnosis of COVID-19 through the evaluation of three immunoassays: Two automated immunoassays (Euroimmun and Abbott) and one rapid lateral flow immunoassay (NG Biotech).",2020,"covid-19"
"21","32593125","Worried well and Covid-19: Re-emergence of an old quandary.",2020,"covid-19"
"22","32593124","Mental health burden for Chinese middle school students affected by the COVID-19 pandemic.",2020,"covid-19"
"23","32593122","COVID 19 pandemic: Mental health challenges of internal migrant workers of India.",2020,"covid-19"
"24","32593121","Demystifying the myths about COVID-19 infection and its societal importance.",2020,"covid-19"
"25","32593120","Remote Psychological First Aid (rPFA) in the time of Covid-19: A preliminary report of the Malaysian experience.",2020,"covid-19"
"26","32593119","New information technology (IT)-related approaches could facilitate psychiatric treatments in general hospital psychiatry during the COVID-19 pandemic.",2020,"covid-19"
"27","32593116","Teledentistry during COVID-19 pandemic.",2020,"covid-19"
"28","32593091","Ageing out of place in COVID-19 pandemic era: How does the situation look like for older refugees in camps?",2020,"covid-19"
"29","32593071","Is it correct to estimate mental disorder through online surveys during COVID-19 pandemic?",2020,"covid-19"
"30","32593067","Fear and agony of the pandemic leading to stress and mental illness: An emerging crisis in the novel coronavirus (COVID-19) outbreak.",2020,"covid-19"
"31","32593065","Patient flow in the largest French psychiatric emergency centre in the context of the COVID-19 pandemic.",2020,"covid-19"
"32","32593060","Helping doctors hasten COVID-19 treatment: Towards a rescue framework for the transfusion of best convalescent plasma to the most critical patients based on biological requirements via ml and novel MCDM methods.",2020,"covid-19"
"33","24533370","Identification of novel tumor suppressor genes down-regulated in recurrent nasopharyngeal cancer by DNA microarray.",2011,"cancer"
"34","24426518","Laparoscopic surgery for the ascending colon cancer associated with malrotation of the midgut.",2011,"cancer"
"35","24425959","Differentiation- and apoptosis-inducing activities of rice bran extracts in a human colon cancer cell line.",2011,"cancer"
"36","23997506","Role of Recombinant Human Thyrotropin (rhTSH) in the Treatment of Well-Differentiated Thyroid Cancer.",2011,"cancer"
"37","23960813","The US FDAs withdrawal of the breast cancer indication for Avastin (bevacizumab).",2011,"cancer"
"38","23898269","Metastatic castration-resistant prostate cancer: two case reports of dramatic response with abiraterone acetate in patients heavily pretreated with chemotherapy.",2011,"cancer"
"39","23730100","Neo adjuvant treatment with targeted molecules for renal cell cancer in current clinical practise.",2011,"cancer"
"40","23688368","A pilot study to identify correlates of intentional versus unintentional nonadherence to analgesic treatment for cancer pain.",2011,"cancer"
"41","23688365","Current knowledge of pain after breast cancer treatment: a systematic review.",2011,"cancer"
"42","23550227","Land elevation and cancer mortality in u.s. Cities and counties using median elevations derived from geographic information systems.",2011,"cancer"
"43","23539676","State of the Art Review: Colorectal Cancer Screening.",2011,"cancer"
"44","23382134","Acceptance and Commitment Therapy (ACT) for improving the lives of cancer patients: a preliminary study.",2011,"cancer"
"45","23382133","Genetic testing for hereditary melanoma and pancreatic cancer: a longitudinal study of psychological outcome.",2011,"cancer"
"46","23359753","Detection and Clinical Significance of DLC1 Gene Methylation in Serum DNA from Colorectal Cancer Patients.",2011,"cancer"
"47","23359267","Multicenter clinical study for evaluation of efficacy and safety of transdermal fentanyl matrix patch in treatment of moderate to severe cancer pain in 474 chinese cancer patients.",2011,"cancer"
"48","23359092","Prognostic Factors for Survival of Stage IB Upper Lobe Non-small Cell Lung Cancer Patients: A Retrospective Study in Shanghai, China.",2011,"cancer"
"49","23358881","Prognostic Value of Promoter Hypermethylation of Retinoic Acid Receptor Beta (RARB) and CDKN2 (p16/MTS1) in Prostate Cancer.",2011,"cancer"
"50","23358806","Mast Cells in Adjacent Normal Colon Mucosa rather than Those in Invasive Margin are Related to Progression of Colon Cancer.",2011,"cancer"
"51","23358102","Expressions of Thymidylate Synthase,Thymidine Phosphorylase, Class III β-tubulin, and Excision Repair Cross-complementing Group 1predict Response in Advanced Gastric Cancer Patients Receiving Capecitabine Plus Paclitaxel or Cisplatin.",2011,"cancer"
"52","23357927","Changes of Serum Trace Elements, AFP, CEA, SF, T3, T4 and IGF-II in Different Periods of Rat Liver Cancer.",2011,"cancer"
"53","29913771","Long-term outcome of multidisciplinary intervention of chronic non-cancer pain patients in a private setting.",2012,"cancer"
"54","29913768","Chronic non-cancer pain and the long-term efficacy and safety of opioids: Some blind men and an elephant?",2012,"cancer"
"55","29913761","Keeping an open mind: Achieving balance between too liberal and too restrictive prescription of opioids for chronic non-cancer pain: Using a two-edged sword.",2012,"cancer"
"56","27085860","Novel luminescent silica nanoparticles (LSN): p53 gene delivery system in breast cancer in vitro and in vivo.",2012,"cancer"
"57","26729999","Preoperative Nutritional Assessment in Elderly Cancer Patients Undergoing Elective Surgery: MNA or PG-SGA?",2012,"cancer"
"58","26729996","Surgical Treatment of Extrapulmonary Oligometastatic Non-small Cell Lung Cancer.",2012,"cancer"
"59","26729994","Correlation of Tumoral Prognostic Factors by Sonoelastography Score in Patients to be Operated Due to Breast Cancer.",2012,"cancer"
"60","26396944","Maxillary Sinus Sarcomas: Epidemiological and Clinicopathological Experience of 25 Years in a National Reference Cancer Center.",2012,"cancer"
"61","26396467","Clinical Characteristics of Resected T3 Non-small Cell Lung Cancer Characterized by Parietal Pleural Invasion or Chest Wall Invasion.",2012,"cancer"
"62","25859268","Osthole inhibits proliferation of human breast cancer cells by inducing cell cycle arrest and apoptosis.",2012,"cancer"
"63","25839773","BK virus as a potential oncovirus for bladder cancer in a renal transplant patient.",2012,"cancer"
"64","25678179","The efficacy of lamivudine prophylaxis against hepatitis B reactivation in breast cancer patients undergoing chemotherapy: a meta-analysis.",2012,"cancer"
"65","25177114","Postoperative Body Mass Index Changes in Gastric Cancer Patients according to Reconstruction Type: Effectiveness of Long Jejunal Bypass on Weight Loss in Obese Patients after Distal Gastrectomy.",2012,"cancer"
"66","25029921","Korean Americans' beliefs about colorectal cancer screening.",2012,"cancer"
"67","24970837","High-grade glioma in a patient with breast cancer.",2012,"cancer"
